,composition,Eg
0,K2CeP2O8,2.46
1,PrCuOS,3.03
2,Dy2MgTl,0.0
3,CuN2O6,0.0
4,TiGaIr2,0.0
5,Mg23Al30,0.0
6,BaF2,9.21
7,Li2FeGeS4,1.42
8,Gd1.87Lu2.13Se6,1.56
9,YbPr11Se16,0.0
10,Pm2NiRh,0.0
11,RbH2I3O9,4.07
12,RuPAs,0.8
13,Ba4Si3Se9Cl2,1.76
14,U2SnRh2,0.0
15,WO3,2.9
16,Ba2In2Se5,2.12
17,Nb2Sb,0.0
18,NiC2N2,2.0
19,Hg0.06Zn0.94Te,2.12
20,Pr10OSe14,1.89
21,Ag3SbS3,2.02
22,ThAl,0.0
23,CdSc,1.71
24,Ti3PO7,0.0
25,CdIn30Te46,1.17
26,Al2Cu,0.0
27,Yb5Au4,0.0
28,Cs2Sb,0.62
29,Gd4GaSbS9,2.41
30,K2Bi8Se13,0.59
31,Cu3SbSe4,0.4
32,TeI,1.1
33,Rb3Sb,1.0
34,In4Te3,0.42
35,Pb0.95Se0.95Sn0.05Se0.05,0.22
36,AgAsS2,2.14
37,BiOBr,2.92
38,TlSe,0.57
39,LiAgF3,0.0
40,KCu4AsS4,1.9
41,BiPd,0.0
42,ZnS,3.67
43,FeSi2,1.0
44,Mg3Ni20P6,0.0
45,Pr2Au,0.0
46,SrCdSi,0.0
47,Na2Hg3Sn2S8,2.45
48,LaCuOS,3.14
49,Na7.36Ga7.24Sn4.78Se24,1.5
50,As2Se3,1.84
51,TmB2C,0.0
52,Yb2InPd2,0.0
53,LiAsS2,1.6
54,CuInSe2,1.01
55,RbCu2VS4,1.45
56,Li4TiCr3O8.166,0.0
57,CdGeP2,1.73
58,K2MnSnSe4,1.7
59,HoMg2,0.0
60,BaSe,3.58
61,HfPt,0.0
62,AgLi0.33Ti0.67O2,2.7
63,Pb14B2O14Br6,2.62
64,Nd2BC,0.0
65,Mn11Si19,1.0
66,EuHo2Se4,1.8
67,Li2MnO2F.63,0.0
68,Er2Ga9Co3,0.0
69,Pt3PbC,0.0
70,K2Hg3S2.69Se1.31,2.28
71,LaAl4,0.0
72,ReTe2Cl12,0.0
73,B6P,3.3
74,Ba4Sm2Cu2O9.118,0.0
75,TbTe,0.0
76,Cu0.5Ga1.5S2.5,2.46
77,Lu5Si10Ir4,0.0
78,Nd2Ge5Rh3,0.0
79,Sb2Se3,1.1
80,HoN,1.79
81,Li2MoTeO6,3.5
82,TiO2,3.3
83,Pb0.99Sn0.01Se,0.16
84,Mn2P,0.0
85,Mg2Sn,0.34
86,ErSi2Pd2,0.0
87,Ta4AlC3,0.0
88,TbFe4P12,0.0
89,KSbS2,1.67
90,KIO3,3.87
91,SnS0.01Se0.99,0.89
92,Bi2Te0.4Se2.6,0.7
93,CsInSn2Se6,1.78
94,Li6Mn5FeO12.12,0.0
95,NdAl8Co2,0.0
96,YSi2,0.0
97,LaSi,0.0
98,RbSbSe2,1.62
99,Nd2WC2,0.0
100,ErN,3.0
101,Na2Tl,0.0
102,PbGeS3,2.4
103,Tl2AuPS4,2.2
104,MnGeRh2,0.0
105,CoAsS,0.6
106,NdMgNi4,0.0
107,Sr2Li2Nb3O10.42,0.0
108,CdSe,1.87
109,CsAsSe2,2.0
110,LiZnN,1.98
111,CsYHgSe3,2.54
112,Tl2Mo7O22,0.0
113,AlP,2.43
114,ZnSnAs2,0.74
115,Al2S3,4.1
116,SnSe,0.88
117,Na3W4O12,0.0
118,Ga0.85Al0.15As,1.6
119,Cu3TmTe3,0.14
120,YbDyPd2,0.0
121,Cd12Ge17B8O58,4.29
122,MgGeN2,4.4
123,Tl2CeP2S7,2.4
124,Hg4As2.5InBr3.5,1.71
125,Sc2GaAg,0.0
126,LiGaS2,4.15
127,CuI,3.05
128,CeLu3,0.0
129,Ba2GaYSe5,2.31
130,InSe,1.12
131,Cu7Hg6,0.0
132,SrZrS3,1.0
133,LuU2S3O2.139,0.0
134,Hg4As2HfCl6,2.47
135,GaTe,1.8
136,KAu5PS8,2.14
137,GaSe,2.07
138,Tl3AsSe3,1.3
139,RbI,5.83
140,VB2,0.0
141,ZnCrO2,0.0
142,InAs,0.41
143,Na2VCuF7.62,0.0
144,La2Se3,1.7
145,Tl2Hg3S4,2.05
146,TmIn3,0.0
147,ScNiSb,0.11
148,NdCuOTe,2.26
149,NiP2,0.3
150,Ho2HfS5,1.0
151,NaYbP2S6,1.85
152,InAg3,0.0
