id,composition,HV
1,AlCrFeNiMo,905
2,AlCoCrFeMo0.5,857
3,AlCrFeNiMo0.8,854
4,CoCrFeMoNiTiVZr,850
5,AlCo0.5CrFeMo0.5Ni,801
6,AlFeNiTiVZr,800
7,AlCoCrFeMo0.5Ni,796
8,AlCoFeNiTiVZr,790
9,CoFeMoNiTiVZr,790
10,AlCoCrFeNiTiVZr,780
11,AlCoCrFe0.5Mo0.5Ni,755
12,AlCoCrFe0.6Mo0.5Ni,754
13,AlCoCrFeNb0.5Ni,747
14,AlCo1.5CrFeMo0.5Ni,741
15,FeMoNiTiVZr,740
16,Al0.5BCoCrCuFeNi,736
17,AlCoCrFeMo0.5Ni,730
18,Al0.2Co1.5CrFeNi1.5Ti,717
19,AlCoCrFeMo0.5Ni,715
20,AlCoCrFeMo0.5Ni0.5,708
21,Al0.5CoCrCuFeNiTi2,696
22,AlCoCuFeNiSi,682
23,CoCrCuFeNiTiVZr,680
24,AlCoCrFeNb0.25Ni,668
25,Al0.5CoCrCuFeNiTi1.8,667
26,Al0.5CoCrCuFeNiTi1.4,664
27,Al2.8CoCrCuFe,657
28,Al0.5CoCrCuFeNiTi1.6,657
29,Al1.5CoCrFeMo0.5Ni,655
30,Co1.5CrFeNi1.5Ti,654
31,CoCrFeMnNiV1.0,650
32,Al1.8CoCrCuFeNi,650
33,Al2.8CoCrCuFeNi,650
34,Al0.5CoCrCuFeNiTi1.2,646
35,Al3.0CoCrCuFe,644
36,Al2CoCrFeNiTi,643
37,Al3CoCrCuFeNi,640
38,Hf0.5Mo0.5NbSi0.9TiZr,640
39,AlCoCrFe2Mo0.5Ni,639
40,Al0.5CoCrCuFeNiV1.0,639
41,Al0.5CoCrCuFeNiTi,636
42,AlCoCrFe1.5Mo0.5Ni,635
43,CoCuFeNiTiVZr,630
44,AlCoCuFeNiTi,626
45,CoFeMoNiV,625
46,Al0.7Co0.3CrFeNi,624
47,Al2.5CoCrCuFe,624
48,AlCrFeNiMo0.5,622
49,Al2.5CoCrCuFeNi,620
50,CoFeMo0.8NiV,606
51,Al2CoCrFeMo0.5Ni,605
52,Al2.3CoCrCuFe,603
53,CoFeMoNi1.2V,602
54,Al2.3CoCrCuFeNi,600
55,Al0.5CoCrCuFeNiV1.8,597
56,Al0.5CoCrCuFeNiV1.6,594
57,AlLiMg0.5ScTi1.5,591
58,AlMo0.5NbTa0.5TiZr,591
59,Al0.5CoCrCuFeNiTi0.8,590
60,CuFeNiTiVZr,590
61,Al0.5CoCrCuFeNiV2.0,587
62,AlCoCrFeMo0.5Ni1.5,586
63,AlCo2CrFeMo0.5Ni,586
64,Hf0.5Mo0.5NbSi0.7TiZr,580
65,Al0.5CoCrCuFeNiV1.2,579
66,AlCoCuFeNbNi,578
67,Al0.5CoCrCuFeNiV1.4,577
68,CoFeNiSi0.75,570
69,AlCoCrFeNb0.1Ni,569
70,Al2.0CoCrCuFe,567
71,Al2CoCrCuFeNi,560
72,Al1.8CoCrCuFe,557
73,CoFeMo0.6NiV,557
74,AlCrFeNiMo0.2,549
75,HfMoTaTiZr,542
76,CrMo0.5NbTa0.5TiZr,540
77,Al0.81CoCrFeMnNi,539
78,Al1.25CoCrFeMnNi,539
79,Al0.875CoCrFeNi,538
80,CoFeMoNi1.4V,538
81,AlCuNiTi,537
82,AlMoNbTiV,537
83,AlCoCuFeNi,536
84,MoNbTaVW,536
85,Al0.95CoCrFeMnNi,535
86,Al0.88CoCrFeMnNi,533
87,Al0.75CoCrFeMnNi,530
88,Al0.5NbTa0.8Ti1.5V0.2Zr,530
89,Hf0.5Mo0.5NbSi0.5TiZr,524
90,AlCoCrFeNi,520
91,CoFeMoNi1.6V,520
92,Al1.5CoCrFeNi,517
93,Al0.75MoNbTiV,517
94,Al1.125CuFe0.75NiTi1.125,516
95,Al22.5Cu20Fe15Ni20Ti22.5,516
96,AlCuFeNiTi,516
97,Al2CoCrFeNi,512
98,Al1.5CoCrCuFe,510
99,CoFeMoNi1.8V,510
100,Co1.5CrFeNi1.5Ti0.5,509
101,Al2CoCrFeNi,509
102,Al3CoCrFeNi,506
103,Al1.5CoCrCuFeNi,506
104,Al0.5B0.6CoCrCuFeNi,505
105,HfMoNbTaTiZr,505
106,HfMoNbTaTiZr,505
107,MoNbTaV,504
108,Al0.4Hf0.6NbTaTiZr,500
109,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,500
