task_id,composition,band_gap
mp-861724,Ac2AgIr,0.0
mp-1183076,Ac2AgPb,0.0
mp-1183068,Ac2CdGa,0.0
mp-1183063,Ac2CdGe,0.0
mp-1183086,Ac2CdHg,0.0
mp-862319,Ac2CdSn,0.0
mp-862786,Ac2CuGe,0.0
mp-861883,Ac2CuIr,0.0
mp-1183120,Ac2CuRu,0.0
mp-867122,Ac2CuSi,0.0
mp-865470,Ac2CuSn,0.0
mp-862683,Ac2GaCu,0.0
mp-1183054,Ac2GaSi,0.0
mp-867241,Ac2GePd,0.0
mp-861872,Ac2HgGe,0.0
mp-1183377,Ac2InGa,0.0
mp-865951,Ac2IrAu,0.0
mp-866107,Ac2IrPd,0.0
mp-1183093,Ac2IrRh,0.0
mp-985286,Ac2Mg,0.0
mp-1183074,Ac2MgGa,0.0
mp-1183078,Ac2MgPb,0.0
mp-866103,Ac2MgSn,0.0
mp-1183079,Ac2MgTl,0.0
mp-983587,Ac2NiGe,0.0
mp-862849,Ac2NiIr,0.0
mp-11107,Ac2O3,3.5226
mp-32800,Ac2S3,2.2729
mp-862698,Ac2SiAu,0.0
mp-983586,Ac2SiHg,0.0
mp-865855,Ac2SiPd,0.0
mp-864795,Ac2SnHg,0.0
mp-1183072,Ac2TlCd,0.0
mp-1183073,Ac2TlIn,0.0
mp-1183070,Ac2TlSn,0.0
mp-1183077,Ac2YbMg,0.0
mp-1183066,Ac2ZnAu,0.0
mp-865535,Ac2ZnGa,0.0
mp-866018,Ac2ZnGe,0.0
mp-1183067,Ac2ZnHg,0.0
mp-1183106,Ac2ZnIn,0.0
mp-865398,Ac2ZnIr,0.0
mp-866289,Ac2ZnSi,0.0
mp-1183061,Ac2ZnSn,0.0
mp-1183080,Ac3Ag,0.0
mp-1183064,Ac3Au,0.0
mp-1183119,Ac3Br,0.0
mp-1183090,Ac3Cd,0.0
mp-1183105,Ac3Ce,0.0
mp-1183113,Ac3Cl,0.0
mp-1183075,Ac3Cr,0.0
mp-1183081,Ac3Dy,0.0
mp-1183091,Ac3Er,0.0
mp-1183271,Ac3Eu,0.0
mp-985291,Ac3Hg,0.0
mp-1183111,Ac3Ho,0.0
mp-1183096,Ac3I,0.0
mp-985305,Ac3In,0.0
mp-1183095,Ac3La,0.0
mp-1183087,Ac3Lu,0.0
mp-1183097,Ac3Mo,0.0
mp-1183104,Ac3Nb,0.0
mp-985554,Ac3Nd,0.0
mp-1183280,Ac3Np,0.0
mp-1183126,Ac3Pa,0.0
mp-1183109,Ac3Pm,0.0
mp-985302,Ac3Pr,0.0
mp-985561,Ac3Sc,0.0
mp-1183122,Ac3Si,0.0
mp-985547,Ac3Sm,0.0
mp-861939,Ac3Sn,0.0
mp-1183099,Ac3Tb,0.0
mp-985303,Ac3Th,0.0
mp-1183108,Ac3Ti,0.0
mp-985506,Ac3Tl,0.0
mp-1183084,Ac3Tm,0.0
mp-1183094,Ac3V,0.0
mp-1183083,Ac3Y,0.0
mp-1183059,Ac3Yb,0.0
mp-1183092,Ac3Zn,0.0
mp-1183058,Ac3Zr,0.0
mp-866199,AcAg,0.0
mp-1183065,AcAg2Pb,0.0
mp-862890,AcAg2Sn,0.0
mp-865950,AcAg3,0.0
mp-862972,AcAgAu2,0.0
mp-862873,AcAgHg2,0.0
mp-867311,AcAgTe2,0.07939999999999969
mp-862617,AcAl3,0.0
mp-1183115,AcAlO3,4.104500000000002
mp-867838,AcAu3,0.0
mp-1183052,AcBO3,0.8002000000000002
mp-866016,AcBiAu2,0.0
mp-27972,AcBr3,4.1045
mp-30274,AcBrO,4.2410000000000005
mp-867890,AcCd3,0.0
mp-867338,AcCdAg2,0.0
mp-1183071,AcCdAu2,0.0
mp-864644,AcCdHg2,0.0
mp-861880,AcCdRh2,0.0
mp-1183110,AcCe3,0.0
mp-1183117,AcCeMg2,0.0
mp-27971,AcCl3,5.0859000000000005
mp-30273,AcClO,4.4451
mp-866647,AcCrO3,1.7683999999999995
mp-1183114,AcCu3,0.0
mp-1232311,AcCuO2F,0.0
mp-864606,AcCuO3,0.0
mp-1183062,AcDy3,0.0
mp-985300,AcEr3,0.0
mp-1183125,AcEu3,0.0
mp-1006278,AcEuAu2,0.0
mp-1183268,AcEuMg2,0.0
mp-1183124,AcEuZn2,0.0
mp-985278,AcF3,6.065199999999999
mp-864241,AcFeO3,0.9887999999999996
mp-867815,AcGa3,0.0
mp-1183053,AcGaO3,2.8943999999999988
mp-861884,AcGaTe2,0.4909999999999997
mp-862665,AcGe3,0.0
mp-24147,AcH2,0.0
mp-861605,AcH3,0.9543999999999996
mp-862289,AcHg3,0.0
mp-861966,AcHgAu2,0.0
mp-1183060,AcHgRh2,0.0
mp-1183055,AcHgTe2,0.0
mp-861867,AcI3,2.5886
mp-867297,AcIn3,0.0
mp-1183121,AcInAg2,0.0
mp-862860,AcInAu2,0.0
mp-867321,AcInHg2,0.0
mp-861460,AcInTe2,0.37979999999999947
mp-1183049,AcLa,0.0
mp-985059,AcLa3,0.0
mp-1183118,AcLaCd2,0.0
mp-1183101,AcLaMg2,0.0
mp-866286,AcMg,0.0
mp-1184231,AcMg149,0.2168000000000001
mp-984785,AcMg3,0.0
mp-864996,AcMg5,0.0
mp-865979,AcMgCd2,0.0
mp-866225,AcMgHg2,0.0
mp-1183142,AcMgO3,0.0
mp-861735,AcMgTl2,0.0
mp-1183182,AcMgZn2,0.0
mp-1183153,AcMnO3,0.0
mp-866056,AcN,0.0517000000000003
mp-1183255,AcNb3,0.0
mp-1183235,AcNd3,0.0
mp-1183179,AcNdMg2,0.0
mp-1183139,AcNiO3,0.0
mp-36526,AcOF,4.2566000000000015
mp-867422,AcPbAu2,0.0
mp-1183145,AcPdO3,0.0
mp-1183241,AcPm3,0.0
mp-1183239,AcPr3,0.0
mp-1183181,AcPrMg2,0.0
mp-1183220,AcRh2Pb,0.0
mp-862894,AcSbAu2,0.0
mp-1183247,AcSc3,0.0
mp-1183152,AcScO3,3.380000000000001
mp-1183234,AcSe3,0.0
mp-866222,AcSi3,0.0
mp-1183150,AcSiO3,0.0
mp-1183230,AcSm3,0.0
mp-865957,AcSnAu2,0.0
mp-1183197,AcSnHg2,0.0
mp-1183243,AcSnPd2,0.0
mp-1183217,AcTb3,0.0
mp-865558,AcTe3,0.0
mp-1183258,AcTh3,0.0
mp-865927,AcTiO3,0.0
mp-865958,AcTlAg2,0.0
mp-865952,AcTlAu2,0.0
mp-984551,AcTlHg2,0.0
mp-1183199,AcTlRh2,0.0
mp-865028,AcTlTe2,0.6253000000000002
mp-1183168,AcVO3,0.0
mp-1183226,AcY3,0.0
mp-1183236,AcYb3,0.0
mp-1183196,AcYbAg2,0.0
mp-1183185,AcYbAu2,0.0
mp-979962,AcYbCd2,0.0
mp-979981,AcYbGa2,0.0
mp-866203,AcYbHg2,0.0
mp-979950,AcYbMg2,0.0
mp-980005,AcYbRh2,0.0
mp-1183192,AcYbTl2,0.0
mp-865953,AcYbZn2,0.0
mp-1183174,AcZn2Cd,0.0
mp-1183190,AcZn2In,0.3487
mp-864809,AcZn3,0.0
mp-861734,AcZnAu2,0.0
mp-1215094,Ag(AsSe2)3,0.0
mp-18125,Ag(AuF4)2,0.25859999999999994
mp-35835,Ag(AuS)2,0.0
mp-567334,Ag(BCl)6,2.6955
mp-558796,Ag(Bi2S3)3,0.0
mp-1207284,Ag(BiSe2)3,0.0
mp-1206226,Ag(BiTe2)3,0.0
mp-654937,Ag(CO)2,0.7213
mp-777775,Ag(H7O4)2,0.0
mp-675553,Ag(Mo3S4)2,0.0
mp-1103642,Ag(Mo3Se4)2,0.0
mp-1192809,Ag(NO)3,0.0
mp-1182987,Ag(NO2)3,0.1825000000000001
mp-1229205,Ag(OsO3)2,0.0
mp-29607,Ag(TeMo)6,0.0
mp-29717,Ag(W3Br7)2,0.0
mp-568392,Ag10Te4Br3,0.7275999999999998
mp-1229222,Ag10Te4BrCl,0.21409999999999973
mp-770433,Ag11Hg9,0.0
mp-1215080,Ag12SBr,0.3944999999999999
