task_id,composition,formation_energy_per_atom
mp-861724,Ac2AgIr,-0.3631142033333337
mp-1183076,Ac2AgPb,-0.3640619908333331
mp-1183068,Ac2CdGa,-0.34819866208333305
mp-1183063,Ac2CdGe,-0.3945905583333329
mp-1183086,Ac2CdHg,-0.3607212670833331
mp-862319,Ac2CdSn,-0.4633444033333332
mp-862786,Ac2CuGe,-0.35050809708333297
mp-861883,Ac2CuIr,-0.309825800833333
mp-1183120,Ac2CuRu,-0.029496227083333437
mp-867122,Ac2CuSi,-0.2529089608333326
mp-865470,Ac2CuSn,-0.33712557208333305
mp-862683,Ac2GaCu,-0.25311612833333363
mp-1183054,Ac2GaSi,-0.3564897733333341
mp-867241,Ac2GePd,-0.6589035145833337
mp-861872,Ac2HgGe,-0.4953568170833331
mp-1183377,Ac2InGa,-0.3919842316666666
mp-865951,Ac2IrAu,-0.6097581808333334
mp-866107,Ac2IrPd,-0.6132704158333331
mp-1183093,Ac2IrRh,-0.4897561958333334
mp-985286,Ac2Mg,-0.029074144444444155
mp-1183074,Ac2MgGa,-0.2298238233333332
mp-1183078,Ac2MgPb,-0.2742934733333331
mp-866103,Ac2MgSn,-0.3449516095833327
mp-1183079,Ac2MgTl,-0.18179827958333306
mp-983587,Ac2NiGe,-0.3347868020833333
mp-862849,Ac2NiIr,-0.31556779083333275
mp-11107,Ac2O3,-3.7516362854166654
mp-32800,Ac2S3,-2.560231837604168
mp-862698,Ac2SiAu,-0.5601211208333332
mp-983586,Ac2SiHg,-0.3803030283333335
mp-865855,Ac2SiPd,-0.5516269458333332
mp-864795,Ac2SnHg,-0.5487195345833333
mp-1183072,Ac2TlCd,-0.2841385633333329
mp-1183073,Ac2TlIn,-0.3441340379166662
mp-1183070,Ac2TlSn,-0.4941617858333327
mp-1183077,Ac2YbMg,-0.019261630833333317
mp-1183066,Ac2ZnAu,-0.4982941945833329
mp-865535,Ac2ZnGa,-0.3405666670833329
mp-866018,Ac2ZnGe,-0.4047408858333328
mp-1183067,Ac2ZnHg,-0.3356573295833329
mp-1183106,Ac2ZnIn,-0.3055931304166664
mp-865398,Ac2ZnIr,-0.3594492845833326
mp-866289,Ac2ZnSi,-0.3025318345833328
mp-1183061,Ac2ZnSn,-0.4298790408333328
mp-1183080,Ac3Ag,0.08755986499999979
mp-1183064,Ac3Au,-0.11079645250000024
