task_id,composition,band_gap
mp-11107,Ac2O3,3.5226
mp-32800,Ac2S3,2.2729
mp-867311,AcAgTe2,0.07939999999999969
mp-1183115,AcAlO3,4.104500000000002
mp-1183052,AcBO3,0.8002000000000002
mp-27972,AcBr3,4.1045
mp-30274,AcBrO,4.2410000000000005
mp-27971,AcCl3,5.0859000000000005
mp-30273,AcClO,4.4451
mp-866647,AcCrO3,1.7683999999999995
mp-985278,AcF3,6.065199999999999
mp-864241,AcFeO3,0.9887999999999996
mp-1183053,AcGaO3,2.8943999999999988
mp-861884,AcGaTe2,0.4909999999999997
mp-861605,AcH3,0.9543999999999996
mp-861867,AcI3,2.5886
mp-861460,AcInTe2,0.37979999999999947
mp-1184231,AcMg149,0.2168000000000001
mp-866056,AcN,0.0517000000000003
mp-36526,AcOF,4.2566000000000015
mp-1183152,AcScO3,3.3800000000000012
mp-865028,AcTlTe2,0.6253000000000002
mp-1183190,AcZn2In,0.3487
mp-18125,Ag(AuF4)2,0.25859999999999994
mp-567334,Ag(BCl)6,2.6955
mp-654937,Ag(CO)2,0.7213
mp-1182987,Ag(NO2)3,0.1825000000000001
mp-568392,Ag10Te4Br3,0.7275999999999998
mp-1229222,Ag10Te4BrCl,0.21409999999999973
mp-1215080,Ag12SBr,0.3944999999999999
mp-1215073,Ag12SI,0.4024000000000001
mp-1195193,Ag12Sn7H16(Se11N2)2,0.2259000000000002
mp-1199256,Ag13As3(IO3)4,0.3092999999999999
mp-560328,Ag15P4S16Cl3,1.2258
mp-1215118,Ag16HgAs4S15,1.1099
mp-1205258,Ag2(MoO4)3,0.988
mp-28729,Ag25(BiO6)3,0.050899999999999945
mp-1197575,Ag2AsS2,0.5152000000000001
mp-554873,Ag2B8O13,3.2651
mp-559071,Ag2Bi2S3Cl2,1.6367999999999996
mp-1229130,Ag2Bi2SeS3,0.3573999999999993
mp-1229134,Ag2BiSb(TeSe)2,0.0799000000000003
mp-1229120,Ag2BiSbSe4,0.08549999999999969
mp-556345,Ag2BrNO3,1.8191
mp-1197559,Ag2C4Br3N,0.025900000000000038
mp-1199990,Ag2C4I3N,1.0808
mp-574486,Ag2CN2,0.9996999999999998
mp-4691,Ag2CO3,0.4668000000000001
mp-680067,Ag2CSNClO4,2.5329
mp-1196546,Ag2Ge(S2O7)3,2.8072
mp-554988,Ag2Ge2O5,0.7531000000000001
mp-983589,Ag2GeO3,0.21130000000000004
mp-861942,Ag2GePbS4,1.4887000000000006
mp-567645,Ag2H12C6N3Cl,3.4853
mp-723002,Ag2H12S(NO)4,2.9412000000000003
mp-778019,Ag2H16O9,2.2358
mp-1196868,Ag2H2C2N6O13,1.8169
mp-690687,Ag2H2IOF,1.456
mp-555477,Ag2H3IO6,0.6966000000000001
mp-860963,Ag2H4(SO4)3,2.8882
mp-1215002,Ag2H8C2S2N5ClO3,2.4567
mp-558763,Ag2Hg(SeO3)2,1.8132
mp-553949,Ag2Hg2(TeO4)3,0.13640000000000008
mp-23592,Ag2Hg7(As2I3)2,0.6387999999999998
mp-571425,Ag2Hg7(P4Br3)2,0.7686999999999999
mp-672339,Ag2Hg7(P4I3)2,0.7439
mp-29816,Ag2HgO2,0.40180000000000016
mp-9635,Ag2HgS2,0.4139000000000004
mp-556866,Ag2HgSI2,1.2212000000000005
mp-557396,Ag2INO3,1.7932
mp-1079461,Ag2IOF,0.04780000000000007
mp-1203404,Ag2Mo(I2O7)2,1.9923000000000008
mp-504777,Ag2Mo2O7,1.9011
mp-566624,Ag2Mo3SeO12,1.676
mp-19318,Ag2MoO4,1.8721
mp-557303,Ag2NClO3,1.7053000000000005
mp-546190,Ag2O3,0.33609999999999995
mp-1195759,Ag2P2H2O7,2.1813
mp-557644,Ag2P2PbO7,2.4212
mp-1190325,Ag2P2PdO7,1.1196000000000002
mp-707138,Ag2PHO4,1.3238
mp-558151,Ag2PO3F,1.0774
mp-558469,Ag2PS3,1.7759000000000005
mp-13956,Ag2PSe3,0.8588
mp-667327,Ag2Pb8Cl4O7,2.091
mp-1229102,Ag2PbI4,0.9009999999999998
mp-20210,Ag2PbO2,1.3770000000000002
mp-1195817,Ag2Pd(NO2)4,1.8591
mp-28557,Ag2PdCl4,1.1217
mp-1182977,Ag2S(NO)2,0.03329999999999988
mp-1192057,Ag2S2O7,2.3498
mp-30982,Ag2SO3,2.2506
mp-5625,Ag2SO4,1.3907
mp-16913,Ag2SeO3,1.7004
mp-11641,Ag2SeO4,0.5841
