,composition,Tc
0,Ba0.4K0.6Fe2As2,31.2
1,Ca0.4Ba1.25La1.25Cu3O6.98,40.1
2,Mo0.39Ru0.61,6.9
3,Tm4Os6Sn19,1.1
4,Nd1Bi0.99Pb0.01S2F0.3O0.7,4.85
5,V0.784Ga0.172Al0.044,9.4
6,La1.71Sr0.29Cu0.94Co0.06O4,33.0
8,N0.82V1,2.9
9,Be0.86Pb0.14,9.7
10,Nb3Sn0.85Tl0.15,18.2
11,Pb0.5Cu0.5Sr0.9La1.1Cu1O5.16,28.1
14,Nd1.1Ba1.9Cu3O6.96,87.6
15,Y0.887Ba1.962Ca0.15Cu4O8,91.8
16,Ba0.33Hf1N1Cl1,20.2
17,La2Cu0.975V0.025O4.032,40.0
18,Sm12Cu2.96Ni0.04O6.88,83.0
19,Cu1.5Mo4.5S6,10.9
20,La0.9974Tb0.0026,5.28
21,Y0.9Ce0.1Ni2B2C1,11.9
23,La2.9628Gd0.0372In1,5.04
24,Pd2Zr0.9Nb0.1Al1,2.1
26,Ru0.8Sr2Y1Cu2.2O8.1,65.0
27,Y1Ba2Cu2.76Co0.24O6.999,50.7
28,La2.9553Gd0.0447In1,4.3
29,Nb2.5Sn1V0.5,14.2
30,La1.73Sr0.27Cu0.94Mn0.06O4,37.0
31,Ho0.75Y0.25Ni2B2C1,8.9
32,Ga0.25Fe0.75Se0.85,6.8
34,Zr54.6Ti23.4Ni22,2.78
36,Sr0.7Ba1.3Y1Cu2.8Al0.2O7.11,20.0
37,Ca1Hg3,1.6
38,Bi1Ga1Sr1.8Ca1.2Cu2O8,24.8
41,Y0.35Pr0.65Ba1Sr1Cu3O6.9,20.3
43,Gd0.2Nd1.65Ce0.15Cu1O4,18.5
45,Nb1C0.2N0.74,17.5
46,Pr1Os3.8Ru0.2Sb12,1.655
47,Bi2Sr1.6Pr0.4Cu1O6.313,21.8
48,Bi4Sr3Ca2.7Y0.3Cu4OY,81.7
49,Mo0.8W0.2C1,12.0
50,Ga0.02Sn0.98,3.7260000000000004
52,Er0.95Gd0.05Rh4B4,7.61
53,Au0.499Ga0.501,1.17
54,In0.17Tl0.83,3.45
55,La1.78Sr0.22Cu0.98Zn0.02O4,9.555
56,K0.82Fe1.63Se2,32.0
58,La1.82Nd0.03Sr0.15Cu1O4,34.2
59,La1.887Ca0.1125Cu1O4,20.1
62,Ba1Fe1.83Zn0.06Co0.11As2,17.0
64,Fe0.5Ba1Sr1Tm1Cu2.5O7.432,40.0
66,La1.825Ba0.175Cu1O4,26.2
68,La1.5Er0.5Ba2Ca1Cu5O11.907,78.0
69,Sm0.96La0.84Sr0.2Cu1O4,35.0
70,Cu0.5P0.5Sr2Ca1.8Y0.2Cu3O9.55,80.0
72,Sr1Ga0.5Si1.5,3.5
73,Ca0.4La1.25Ba1.35Cu3O7.135,76.0
75,Nb0.995Ta0.005,9.226
76,Fe1Se0.5S0.5,2.75
77,Ce1Rh1In4.84Sn0.16,1.2
78,Y0.8Ca0.2Ba2Cu2.8Co0.2O6.98,82.5
79,Na0.32Co1H2.6O3.3,2.825
82,Bi2Sr2.4Ca0.6Cu2O8,94.2
83,La1.751Ba0.249Cu1O4,13.7
84,La0.5Y0.5Fe1As1O0.6,39.3
85,La2Pt3Ge5,8.1
86,Al0.75Ge0.25Nb3.8,20.34
87,La1.7Er0.3Ba2Ca0.6Cu4.6O10.92,70.0
88,La1Fe0.99975Mn0.00025As1F0.11O0.89,23.8
89,Y1Ba2Cu2.97Zn0.03O6.63,42.5
90,Ba0.635K0.365Bi1O3,30.4
91,La1.85Sr0.016Ca0.074Ba0.06Cu1O4.01,25.4
93,Ga0.1Fe0.9Se0.85,6.8
94,Nb0.64Ta0.36,6.8
95,La0.97Nd0.03Pt1Si1,3.27
96,Bi0.055Sn0.945,3.94
98,Y1Ni1.9Mn0.1B2C1,12.7
101,Y1Ba2Cu3Li0.02O7,91.18
102,Mg1.2C1.44B0.16Ni3,6.6
103,Bi4Sr3Ca1.6Y1.4Cu4O16,79.8
105,Bi4Rh1,1.966666667
106,Y1Ba1.86La0.14Cu3O6.98,89.4
107,Pd2.2S1,1.63
108,Ge1V3,6.86
109,Y1Sr2Cu2.8W0.2O6.9,45.0
110,Bi2Sr1.8Y0.1Ca1.1Cu2O8.23,93.0
111,Nb0.8V0.2,5.76
113,Fe1.03Te0.7Se0.3,12.7
115,Ba0.51K0.49Bi1O2.974,22.2
119,Yb1Ba2Cu2.982Zn0.018O6.9,85.1
122,Fe0.2Ni0.8Zr2,2.13
123,Bi2.1Sr1.8Ca1Cu1.982Zn0.018O8,83.0
125,La1Ba2Cu2.9O6.82,45.0
127,Rh45Ta55,3.37
129,Y1Ba2Cu4O7.8,77.5
130,As1Nb3,2.353333333
131,La0.5Th0.5Sn3,4.67
132,La1.65Sm0.15Sr0.2Cu1O4,24.0
134,Pb0.3325Sn0.6175In0.05Te1,1.61
136,La1Fe1As1H0.3O0.7,38.0
137,Er0.88Ca0.12Ba2Cu2.82Co0.18O6.93,77.5
138,Ba1Fe1.84Co0.13Mn0.03As2,8.0
140,La7Ru3,1.835
141,Ir0.125Rh0.125Zr0.75,10.2
142,Al0.999Fe0.001,1.5
143,Ba0.542K0.458Bi1O3,23.1
144,Y0.6Lu0.4Ir4B4,3.06
145,Sr0.66Eu0.34Fe1.76Co0.24As2,9.82
147,Y0.9Pr0.1Ni2B2C1,11.2
149,Co7Y9,2.85
150,La1Ru4Sb12,3.293333333
151,Al0.25Fe0.75Se0.85,8.5
153,Pd2Y0.25Tm0.75Sn1,3.06
154,Mg0.9Zn0.1B2,38.4
156,Nb2.85Hf0.15Al1,14.4
157,Nb0.9Ru0.1,2.8
158,Ca0.67Pt3B2,1.57
159,Ba1Fe1.894Pd0.106As2,13.3
161,Er1Ba2Cu2.78Zn0.18Fe0.03O6.93,46.0
164,Fe0.5Ba2Eu1Cu2.5O7.51,60.0
165,Pt1V3.5,1.26
166,Sm1.5Ce0.5Sr2Cu2Nb1O10,25.0
167,Sr0.75Y0.25Cu1O2,38.6
168,Pb0.93Tl0.075,6.98
169,La1Fe0.985Ru0.015As1F0.11O0.89,27.5
170,Bi2Sr2Ca1Cu2O8.2135,70.0
171,Cu0.025V0.975,4.45
172,Ir1Mo1,5.325
173,La1Fe1As1F0.18O0.82,14.3
174,Pr1Fe0.9Co0.1As0.95P0.05O1,14.2
175,Th1Ni2B2C1,6.966666667
176,La1Os2Ru2P12,7.0
177,Lu1Ni1.93Co0.14B2C1,10.5
178,Er0.25Ho0.75Rh4B4,6.44
179,Nb2.7Ti0.3Sn1,16.4
180,Bi1.7Pb0.3Sr2Ca0.98Nd0.02Cu2O8.05,80.89
181,Cd0.01In0.99,3.3445
182,Li0.28Zr1N1Cl1,13.4
183,Y0.8Ca0.2Ba2Cu2.8Zn0.2O6.74,44.0
184,Y1Ba2Cu3.99Zn0.01O8,73.3
186,Ba1Ti2Sb1.6Sn0.4O1,2.31
187,Nb0.4Ti0.4V0.2,7.6
188,La3Te4,4.0275
189,Fe2As2Sr4V2O6,27.0
192,Nb0.4Zr0.6,8.86
195,Fe2As2Sr4Mg0.6Ti1.4O6,29.0
197,Mg0.79Al0.21B2,27.1
198,Cu0.06Ta1S2,4.16
199,La1Ni1Ga2,1.97
200,Nb2.985Hf0.015Al1,18.0
201,Ca1Ba1La1Cu3O6.97,64.0
203,Y2I0.6Br1.4C2,6.4
204,Au0.3Te0.7,1.99
205,Ho0.5Dy0.5Ni2B2C1,5.905
206,Dy1Ba2Cu3O6.68,90.0
208,Er1Ba2.03Cu3.05O7,90.0
209,Si10.9V3C0.1,16.4
210,Nb25Ti75,7.2
211,Rh1W1,3.37
212,Ca0.2Ba1.55La1.25Cu3O6.98,10.4
213,Dy0.9Tm0.1Ni2B2C1,4.55
214,Cu1Th2,3.465
216,Y1Ba1.25Sr0.75Cu3O6.928,85.5
217,Er0.9Gd0.1Rh4B4,6.88
218,Y1Ba2Cu2.7Ni0.3O6.9,46.0
219,In1.015Te1,3.51
220,Dy1Ba2Cu2.7Ga0.3O6.77,39.0
221,Pd0.7Se0.3,2.04
224,Hg1Ba2Cu0.97Zn0.03O4.052,69.0
227,Y1Re0.1Ba2Cu2.9O7,91.5
228,V0.75Ge0.2Al0.05,10.3
232,V2Hf0.84Nb0.16,10.67
233,Ge1.85La1,2.17
236,Nb0.72Pd0.18W0.1,1.5
237,La2Cu0.98Zn0.02O4.099,19.2
239,La0.05Ce0.95Ru2,7.181
240,Lu4.5Sc0.5Ir4Si10,6.06
241,La2Cu1O4.047,29.7
242,La1Sn3,6.358285714
243,Pd1Sn2,3.34
244,Ca1Fe2.94Co0.06As2,17.0
245,B2.4Nb1,9.96
246,Ba1Ni2Ge0.8P1.2,1.38
247,Bi2Sr1.6Ca1.2Y0.2Cu2O8.26,89.1
248,Mo64Ru16P20,7.31
249,Zr70.2Ti7.8Ni22,3.32
251,Y1Ba2Cu2.7Co0.3O6.93,16.9
252,Mo1.935Zr0.065B1C1,6.2
253,Tl0.5Pb0.5Sr4Cu2C0.9N0.1O7,76.0
254,La0.8Hf0.2Bi1S2O1,2.36
255,Ta0.05V0.095,4.3
256,Y1Ba2Cu1O8,82.25
257,Ru1Sr2Gd0.91Nd0.09Cu2O8,23.5
259,Bi0.16Pb0.35V0.05Sr2Ca2Cu3O10.12,103.7
261,La0.6Y0.4,1.29
262,Tl1.8Ba2Ca2.2Cu3O9.92,112.0
263,Ru0.9Sr2Er1Cu2O7.8,23.0
264,C1S1,9.0
266,Y0.85Ca0.15Ba2Cu3O6.58,80.6
269,Pd0.285Zr0.61O0.105,2.09
270,La0.2Th0.8Ni1C2,4.2
272,Y1Ba1.9Ca0.1Cu4O8,85.4
273,La0.5Sm0.5Ba1Ca1Cu3O7,66.0
274,Er1Ba2Cu3O6.67,85.0
278,Rh0.4Zr0.6,7.0
279,V0.65Ge0.1Al0.25,7.0
280,La0.2Th0.8,1.87
281,Li1.1Ti1.9O4,10.05
282,Nb25Ti74Ta1,7.55
283,C1Nb0.1Zr0.9,4.2
286,Tm1Ni1.88Co0.24B2C1,1.6
287,Ce1Co1In4.96Cd0.04,2.05
289,Pr0.98La0.02Os4Sb12,1.8
290,Rh41Zr59,2.44
291,La1.425Nd0.4Sr0.175Cu1O4,25.0
292,In2Mo6Se6,1.425
293,Th1Ir3B2,2.09
296,V0.75Si0.2Al0.05,11.8
302,Bi0.9Sb0.1,5.2
303,Gd0.02Pr1.83Ce0.15Cu1O4,18.5
304,Y1Ba2Cu2.91Zn0.09O6.6,6.0
305,Ta0.0355V0.9645,4.55
307,La0.95Pr0.85Sr0.2Cu1O4,27.0
308,La1.7Gd1.3Ca1Ba2.2Sr0.8Cu6.44In0.56O16.6,30.0
309,Ca0.1Ba1.65La1.25Cu3O7.03,29.9
311,La7Ir3,2.33
313,Ce0.005La0.995,4.935
314,In0.75Sn0.25,5.95
315,Ba1Fe1.81Zn0.08Co0.11As2,11.0
317,B0.67Mg0.33,6.1
320,La0.9Ce0.1Ru2,3.012
321,Mo0.3U0.7,1.97
322,La1Fe1As1F0.06O0.94,18.0
323,Nb2In1C1,7.5
325,Ba0.91Ce0.09Fe2As2,4.12
327,Nb41.25Ta13.75Ir45,4.35
328,La1.75Sr0.25Cu1O3.921,19.6
329,Sm1.844Ce0.156Cu1O4,16.4
330,C1Mo0.8Ta0.2,8.7
331,Y1Ba2Cu3.99Ni0.01O8,78.4
333,Hg3Zr1,3.28
335,Sr1Fe1.5Ru0.5As2,10.25
337,Pb0.987Tl0.013Te1,1.32
338,Sm1La0.8Sr0.2Cu1O3.925,19.6
339,Sn0.8075Pb0.1425In0.05Te1,2.81
340,Y1Ni1.94Co0.06B2C1,11.8
341,Y1Ba2Cu2.98Ni0.02O6.95,87.5
343,La1Nd0.87Ce0.13Cu1O3.975,16.8
344,Bi2Sr2Ca0.65Y0.35Cu2O8.3,74.0
345,V3Ga0.793Sb0.207,6.9
346,Al0.3Be0.7,6.5
347,Pb0.6Cu0.4Sr1La1Cu1O5.06,37.8
349,Pd1.05Te2,1.77
350,Pr1.85Ce0.15Cu0.98Zn0.02O4.065,18.01
351,Li2B1Pd0.9Pt2.1,2.31
352,Nd1.3Ba1.3Sr0.4O6.828,35.0
353,Y1Ni1.86Fe0.14B2C1,6.2
355,In1.1Te1,2.8
356,Bi2Sr2Ca0.9Y0.1Cu2O8.2,89.0
357,C3Ho0.4Th1.6,5.5
359,Er4Rh6Sn19,1.2
360,B2.5Nb1,6.4
361,V2Ir1B2,1.12
363,Tm1Ba2Cu3O6.94,89.88
364,La0.9Ba1.5Ca0.6Cu3O6.74,73.0
365,Sc0.7Y0.3Ni2B2C1,14.5
366,La1.2Ba1.8Cu3O7.3,27.0
367,Bi1Pd1Te1,1.2
368,Ba1Fe1.64Ru0.36As2,8.43
369,Tm1Ni1.98Co0.04B2C1,9.2
370,Ba0.7K0.3Fe1.72Co0.28As2,12.0
371,Ga5V2,3.57
372,Ba0.5K0.5Fe2As2,35.28
373,La2Ba4Cu6O13.8,65.0
376,Fe1.02Te0.5Se0.5,13.6
377,Fe1Se0.4Te0.6,14.1
378,La1.875Ba0.05Sr0.075Cu1O4,15.25
379,Y1Sr2Cu2.75Re0.25O7.3,49.0
380,La0.8Y0.2Fe0.997Mn0.003As1F0.11O0.89,28.9
384,Ca9.39Pr0.61Pt3Fe10As18,19.5
386,Y1Ba2Cu3O6.773,71.2
387,K0.95Bi1.05O3,8.1
388,Ca0.82La0.18Fe1As1.99P0.01,39.0
389,C1Hf0.5Nb0.5,4.8
391,La0.97Gd0.03Ru2,2.73
